row_index,transaction_id,timestamp,amount,currency,customer_id,merchant_id,device_id,payment_instrument_id,risk_score,decision,primary_trigger,challenge_type,decision_reason,available_signals,ground_truth_fraud
0,TXN_DEMO_0001,2026-03-01 08:15:20,450.0,INR,CUST_1001,MERCH_GROCERY_01,DEV_ANDROID_991,CARD_TOKEN_8801,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
1,TXN_DEMO_0002,2026-03-01 08:22:10,1200.0,INR,CUST_1002,MERCH_COFFEE_04,DEV_IPHONE_332,CARD_TOKEN_8802,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
2,TXN_DEMO_0003,2026-03-01 08:45:00,320.0,INR,CUST_1003,MERCH_TRANSIT_01,DEV_PIXEL_119,CARD_TOKEN_8803,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
3,TXN_DEMO_0004,2026-03-01 09:10:15,2400.0,INR,CUST_1004,MERCH_RETAIL_12,DEV_SAMSUNG_441,CARD_TOKEN_8804,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
4,TXN_DEMO_0005,2026-03-01 09:30:45,650.0,INR,CUST_1001,MERCH_GROCERY_01,DEV_ANDROID_991,CARD_TOKEN_8801,0.55,HOLD,HIGH_CONFIDENCE_ML_RISK,,Unrecognized device token • Elevated risk score (55.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
5,TXN_DEMO_0006,2026-03-01 09:45:10,150.0,INR,CUST_1005,MERCH_COFFEE_04,DEV_IPHONE_772,CARD_TOKEN_8805,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
6,TXN_DEMO_0007,2026-03-01 10:05:00,890.0,INR,CUST_1006,MERCH_RETAIL_02,DEV_XIAOMI_551,CARD_TOKEN_8806,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
7,TXN_DEMO_0008,2026-03-01 10:15:30,3500.0,INR,CUST_1007,MERCH_ELECTRONICS_01,DEV_ONEPLUS_881,CARD_TOKEN_8807,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
8,TXN_DEMO_0009,2026-03-01 10:35:12,420.0,INR,CUST_1008,MERCH_GROCERY_02,DEV_IPHONE_992,CARD_TOKEN_8808,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
9,TXN_DEMO_00010,2026-03-01 11:00:00,1850.0,INR,CUST_1002,MERCH_RETAIL_05,DEV_IPHONE_332,CARD_TOKEN_8802,0.55,HOLD,HIGH_CONFIDENCE_ML_RISK,,Unrecognized device token • Elevated risk score (55.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
10,TXN_DEMO_00011,2026-03-01 11:15:22,48000.0,INR,CUST_1009,MERCH_JEWELRY_01,DEV_NEW_UNKNOWN_01,CARD_TOKEN_8809,0.12,CHALLENGE,ELEVATED_ML_RISK,,Decision triggered by policy rule 'ELEVATED_ML_RISK'.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
11,TXN_DEMO_00012,2026-03-01 11:20:00,25.0,INR,CUST_BOT_01,MERCH_ONLINE_GAME_01,DEV_BOTNET_01,CARD_STOLEN_9901,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
12,TXN_DEMO_00013,2026-03-01 11:22:15,30.0,INR,CUST_BOT_02,MERCH_ONLINE_GAME_01,DEV_BOTNET_01,CARD_STOLEN_9901,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
13,TXN_DEMO_00014,2026-03-01 11:24:40,28.0,INR,CUST_BOT_03,MERCH_ONLINE_GAME_02,DEV_BOTNET_01,CARD_STOLEN_9901,0.4,HOLD,COMPOUND_ML_GRAPH_SYNDICATE,,Entity graph ring score (0.60) • Unrecognized device token • Elevated risk score (40.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
14,TXN_DEMO_00015,2026-03-01 11:26:50,35.0,INR,CUST_BOT_04,MERCH_ONLINE_GAME_02,DEV_BOTNET_01,CARD_STOLEN_9901,0.4,HOLD,COMPOUND_ML_GRAPH_SYNDICATE,,Entity graph ring score (0.70) • Unrecognized device token • Elevated risk score (40.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
15,TXN_DEMO_00016,2026-03-01 11:29:10,25.0,INR,CUST_BOT_05,MERCH_ONLINE_GAME_03,DEV_BOTNET_01,CARD_STOLEN_9901,0.95,HOLD,HIGH_CONFIDENCE_ML_RISK,,High card velocity burst (4 txns/hr) • Entity graph ring score (0.80) • Unrecognized device token • Elevated risk score (95.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
16,TXN_DEMO_00017,2026-03-01 11:45:00,2100.0,INR,CUST_1010,MERCH_APPAREL_01,DEV_IPHONE_441,CARD_TOKEN_8810,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
17,TXN_DEMO_00018,2026-03-01 12:00:15,750.0,INR,CUST_1003,MERCH_FOOD_08,DEV_PIXEL_119,CARD_TOKEN_8803,0.55,HOLD,HIGH_CONFIDENCE_ML_RISK,,Unrecognized device token • Elevated risk score (55.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
18,TXN_DEMO_00019,2026-03-01 12:15:30,3400.0,INR,CUST_1011,MERCH_ELECTRONICS_02,DEV_SAMSUNG_662,CARD_TOKEN_8811,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
19,TXN_DEMO_00020,2026-03-01 12:30:00,120.0,INR,CUST_1012,MERCH_TRANSIT_02,DEV_MOTO_331,CARD_TOKEN_8812,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
20,TXN_DEMO_00021,2026-03-01 13:00:20,3800.0,INR,CUST_1013,MERCH_TRAVEL_01,DEV_NEW_TABLET_55,CARD_TOKEN_8813,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
21,TXN_DEMO_00022,2026-03-01 13:15:00,450.0,INR,CUST_1004,MERCH_FOOD_02,DEV_SAMSUNG_441,CARD_TOKEN_8804,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
22,TXN_DEMO_00023,2026-03-01 13:30:10,65000.0,INR,CUST_1014,MERCH_LUXURY_01,DEV_NEW_LAPTOP_99,CARD_TOKEN_8814,0.12,CHALLENGE,ELEVATED_ML_RISK,,Decision triggered by policy rule 'ELEVATED_ML_RISK'.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
23,TXN_DEMO_00024,2026-03-01 13:45:25,980.0,INR,CUST_1015,MERCH_BOOKS_01,DEV_KINDLE_221,CARD_TOKEN_8815,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
24,TXN_DEMO_00025,2026-03-01 14:00:00,520.0,INR,CUST_1005,MERCH_FOOD_08,DEV_IPHONE_772,CARD_TOKEN_8805,0.55,HOLD,HIGH_CONFIDENCE_ML_RISK,,Spending deviation (3.5x customer mean) • Unrecognized device token • Elevated risk score (55.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
25,TXN_DEMO_00026,2026-03-01 14:15:40,1650.0,INR,CUST_1016,MERCH_RETAIL_09,DEV_ANDROID_112,CARD_TOKEN_8816,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
26,TXN_DEMO_00027,2026-03-01 14:30:00,4200.0,INR,CUST_1017,MERCH_HEALTH_01,DEV_IPHONE_883,CARD_TOKEN_8817,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
27,TXN_DEMO_00028,2026-03-01 14:45:10,310.0,INR,CUST_1006,MERCH_COFFEE_02,DEV_XIAOMI_551,CARD_TOKEN_8806,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
28,TXN_DEMO_00029,2026-03-01 15:00:00,12500.0,INR,CUST_1018,MERCH_ELECTRONICS_01,DEV_MACBOOK_441,CARD_TOKEN_8818,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
29,TXN_DEMO_00030,2026-03-01 15:15:20,850.0,INR,CUST_1001,MERCH_SUPERMARKET_03,DEV_ANDROID_991,CARD_TOKEN_8801,0.18,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
30,TXN_DEMO_00031,2026-03-01 15:30:45,9500.0,INR,CUST_1019,MERCH_TRAVEL_02,DEV_IPHONE_554,CARD_TOKEN_8819,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
31,TXN_DEMO_00032,2026-03-01 15:45:00,240.0,INR,CUST_1007,MERCH_FOOD_01,DEV_ONEPLUS_881,CARD_TOKEN_8807,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
32,TXN_DEMO_00033,2026-03-01 16:00:15,1420.0,INR,CUST_1020,MERCH_RETAIL_01,DEV_SAMSUNG_772,CARD_TOKEN_8820,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
33,TXN_DEMO_00034,2026-03-01 16:15:30,2800.0,INR,CUST_1021,MERCH_SPORTS_01,DEV_PIXEL_331,CARD_TOKEN_8821,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
34,TXN_DEMO_00035,2026-03-01 16:30:00,640.0,INR,CUST_1008,MERCH_COFFEE_01,DEV_IPHONE_992,CARD_TOKEN_8808,0.55,HOLD,HIGH_CONFIDENCE_ML_RISK,,Unrecognized device token • Elevated risk score (55.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
35,TXN_DEMO_00036,2026-03-01 16:45:20,8200.0,INR,CUST_1022,MERCH_FURNITURE_01,DEV_IPAD_112,CARD_TOKEN_8822,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
36,TXN_DEMO_00037,2026-03-01 17:00:00,550.0,INR,CUST_1002,MERCH_GROCERY_01,DEV_IPHONE_332,CARD_TOKEN_8802,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
37,TXN_DEMO_00038,2026-03-01 17:15:10,1800.0,INR,CUST_1023,MERCH_APPAREL_03,DEV_ANDROID_665,CARD_TOKEN_8823,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
38,TXN_DEMO_00039,2026-03-01 17:30:00,340.0,INR,CUST_1003,MERCH_TRANSIT_01,DEV_PIXEL_119,CARD_TOKEN_8803,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
39,TXN_DEMO_00040,2026-03-01 17:45:30,4600.0,INR,CUST_1024,MERCH_DINING_01,DEV_IPHONE_221,CARD_TOKEN_8824,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
40,TXN_DEMO_00041,2026-03-01 18:00:00,720.0,INR,CUST_1004,MERCH_FOOD_05,DEV_SAMSUNG_441,CARD_TOKEN_8804,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
41,TXN_DEMO_00042,2026-03-01 18:15:00,3200.0,INR,CUST_1025,MERCH_ELECTRONICS_03,DEV_SAMSUNG_991,CARD_TOKEN_8825,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
42,TXN_DEMO_00043,2026-03-01 18:30:25,1150.0,INR,CUST_1026,MERCH_RETAIL_04,DEV_ONEPLUS_442,CARD_TOKEN_8826,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
43,TXN_DEMO_00044,2026-03-01 18:45:00,450.0,INR,CUST_1005,MERCH_COFFEE_04,DEV_IPHONE_772,CARD_TOKEN_8805,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
44,TXN_DEMO_00045,2026-03-01 19:00:10,8500.0,INR,CUST_1027,MERCH_HOTEL_01,DEV_IPAD_881,CARD_TOKEN_8827,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
45,TXN_DEMO_00046,2026-03-01 19:15:40,2200.0,INR,CUST_1028,MERCH_DINING_02,DEV_ANDROID_334,CARD_TOKEN_8828,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
46,TXN_DEMO_00047,2026-03-01 19:30:00,590.0,INR,CUST_1006,MERCH_FOOD_08,DEV_XIAOMI_551,CARD_TOKEN_8806,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
47,TXN_DEMO_00048,2026-03-01 19:45:15,1750.0,INR,CUST_1029,MERCH_RETAIL_11,DEV_IPHONE_663,CARD_TOKEN_8829,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
48,TXN_DEMO_00049,2026-03-01 20:00:00,3100.0,INR,CUST_1030,MERCH_ENTERTAINMENT_01,DEV_SAMSUNG_221,CARD_TOKEN_8830,0.015,APPROVE,APPROVED_LOW_RISK,,Normal behavioral parameters within standard approval thresholds.,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
49,TXN_DEMO_00050,2026-03-01 20:15:30,480.0,INR,CUST_1001,MERCH_FOOD_01,DEV_ANDROID_991,CARD_TOKEN_8801,0.12,CHALLENGE,ELEVATED_ML_RISK,,Unrecognized device token,Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,0
50,TXN_DEMO_00051,2026-03-01 23:45:00,92000.0,INR,CUST_1031,MERCH_CRYPTO_01,DEV_UNKNOWN_TOR_01,CARD_TOKEN_8831,0.3,REVIEW,HIGH_ML_RISK,,Elevated risk score (30.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
51,TXN_DEMO_00052,2026-03-02 02:15:10,75000.0,INR,CUST_1032,MERCH_LUXURY_02,DEV_UNKNOWN_VPN_02,CARD_TOKEN_8832,0.39,REVIEW,HIGH_ML_RISK,,Elevated risk score (39.0%),Transaction Amount; Timestamp; Customer Velocity; Customer Spending Profile; Merchant Velocity; Device Behavior; Card Velocity Burst; Entity Graph,1
